,Country,Year,Abbr,Code,Region
0,Russia,2007,RUS,643,Europe
1,Russia,2008,RUS,643,Europe
2,Italy,2008,ITA,380,Europe
3,San Marino,2008,SMR,674,Europe
4,Russia,2009,RUS,643,Europe
5,Turkey,2009,TUR,792,Asia
6,Russia,2010,RUS,643,Europe
7,France,2010,FRA,250,Europe
8,Belarus,2010,BLR,112,Europe
9,Russia,2011,RUS,643,Europe
10,Czechia,2011,CZE,203,Europe
11,Germany,2011,DEU,276,Europe
12,Denmark,2011,DNK,208,Europe
13,Germany,2011,DEU,276,Europe
14,Germany,2012,DEU,276,Europe
15,Russia,2012,RUS,643,Europe
16,Germany,2012,DEU,276,Europe
17,Russia,2013,RUS,643,Europe
18,Germany,2013,DEU,276,Europe
19,France,2013,FRA,250,Europe
20,USA,2013,USA,840,N.America
21,Russia,2014,RUS,643,Europe
22,Spain,2014,ESP,724,Europe
23,UK,2014,GBR,826,Europe
24,Cyprus,2014,CYP,196,Europe
25,Germany,2014,DEU,276,Europe
26,Russia,2015,RUS,643,Europe
27,Japan,2015,JPN,392,Asia
28,Turkey,2015,TUR,792,Asia
29,France,2015,FRA,250,Europe
30,Spain,2015,ESP,724,Europe
31,Germany,2015,DEU,276,Europe
32,Russia,2016,RUS,643,Europe
33,Germany,2016,DEU,276,Europe
34,Italy,2016,ITA,380,Europe
35,South Korea,2016,KOR,410,Asia
36,Sweden,2016,SWE,752,Europe
37,Russia,2017,RUS,643,Europe
38,Belgium,2017,BEL,56,Europe
39,Netherlands,2017,NLD,528,Europe
40,UK,2017,GBR,826,Europe
41,Romania,2017,ROU,642,Europe
42,Bulgaria,2017,BGR,100,Europe
43,Australia,2017,AUS,36,Oceania
44,USA,2017,USA,840,N.America
45,USA,2017,USA,840,N.America
46,Finland,2017,FIN,246,Europe
47,USA,2018,USA,840,N.America
48,Russia,2018,RUS,643,Europe
49,Argentina,2018,ARG,32,S.America
50,Brazil,2018,BRA,76,S.America
51,Chile,2018,CHL,152,S.America
52,Georgia,2018,GEO,268,Europe
53,Turkey,2018,TUR,792,Asia
54,USA,2018,USA,840,N.America
55,Russia,2018,RUS,643,Europe
56,Spain,2018,ESP,724,Europe
57,Morocco,2018,MAR,504,Africa
58,Switzerland,2018,CHE,756,Europe
59,Germany,2018,DEU,276,Europe
60,Russia,2019,RUS,643,Europe
61,Estonia,2019,EST,233,Europe
62,Finland,2019,FIN,246,Europe
63,Sweden,2019,SWE,752,Europe
64,USA,2019,USA,840,N.America
65,Hong Kong,2019,HKG,344,Asia
66,Macao,2019,MAC,446,Asia
67,Viet Nam,2019,VNM,704,Asia
68,Malaysia,2019,MYS,458,Asia
69,Singapore,2019,SGP,702,Asia
70,Thailand,2019,THA,764,Asia
71,Russia,2019,RUS,643,Europe
72,Canada,2019,CAN,124,N.America
73,Russia,2019,RUS,643,Europe
74,,,,,
