Country,Year,Abbr,Code,Region
Russia,2007,RUS,643,Europe
Russia,2008,RUS,643,Europe
Italy,2008,ITA,380,Europe
San Marino,2008,SMR,674,Europe
Russia,2009,RUS,643,Europe
Turkey,2009,TUR,792,Asia
Russia,2010,RUS,643,Europe
France,2010,FRA,250,Europe
Belarus,2010,BLR,112,Europe
Russia,2011,RUS,643,Europe
Czechia,2011,CZE,203,Europe
Germany,2011,DEU,276,Europe
Denmark,2011,DNK,208,Europe
Germany,2011,DEU,276,Europe
Germany,2012,DEU,276,Europe
Russia,2012,RUS,643,Europe
Germany,2012,DEU,276,Europe
Russia,2013,RUS,643,Europe
Germany,2013,DEU,276,Europe
France,2013,FRA,250,Europe
USA,2013,USA,840,N.America
Russia,2014,RUS,643,Europe
Spain,2014,ESP,724,Europe
UK,2014,GBR,826,Europe
Cyprus,2014,CYP,196,Europe
Germany,2014,DEU,276,Europe
Russia,2015,RUS,643,Europe
Japan,2015,JPN,392,Asia
Turkey,2015,TUR,792,Asia
France,2015,FRA,250,Europe
Spain,2015,ESP,724,Europe
Germany,2015,DEU,276,Europe
Russia,2016,RUS,643,Europe
Germany,2016,DEU,276,Europe
Italy,2016,ITA,380,Europe
South Korea,2016,KOR,410,Asia
Sweden,2016,SWE,752,Europe
Russia,2017,RUS,643,Europe
Belgium,2017,BEL,56,Europe
Netherlands,2017,NLD,528,Europe
UK,2017,GBR,826,Europe
Romania,2017,ROU,642,Europe
Bulgaria,2017,BGR,100,Europe
Australia,2017,AUS,36,Oceania
USA,2017,USA,840,N.America
USA,2017,USA,840,N.America
Finland,2017,FIN,246,Europe
USA,2018,USA,840,N.America
Russia,2018,RUS,643,Europe
Argentina,2018,ARG,32,S.America
Brazil,2018,BRA,76,S.America
Chile,2018,CHL,152,S.America
Georgia,2018,GEO,268,Europe
Turkey,2018,TUR,792,Asia
USA,2018,USA,840,N.America
Russia,2018,RUS,643,Europe
Spain,2018,ESP,724,Europe
Morocco,2018,MAR,504,Africa
Switzerland,2018,CHE,756,Europe
Germany,2018,DEU,276,Europe
Russia,2019,RUS,643,Europe
Estonia,2019,EST,233,Europe
Finland,2019,FIN,246,Europe
Sweden,2019,SWE,752,Europe
USA,2019,USA,840,N.America
Hong Kong,2019,HKG,344,Asia
Macao,2019,MAC,446,Asia
Viet Nam,2019,VNM,704,Asia
Malaysia,2019,MYS,458,Asia
Singapore,2019,SGP,702,Asia
Thailand,2019,THA,764,Asia
Russia,2019,RUS,643,Europe
Canada,2019,CAN,124,N.America
Russia,2019,RUS,643,Europe
USA,2020,USA,840,N.America
Switzerland,2020,CHE,756,Europe
Tanzania,2020,TZA,834,Africa
Spain,2020,ESP,724,Europe
UAE,2020,ARE,784,Asia
Russia,2020,RUS,643,Europe
